"Prebivalstvo po velikih in petletnih starostnih skupinah in spolu, statistiène regije, Slovenija, letno"

"SPOL","STATISTIÈNA REGIJA","2020 0-4 let","2020 5-9 let","2020 10-14 let","2020 15-19 let","2020 20-24 let","2020 25-29 let","2020 30-34 let","2020 35-39 let","2020 40-44 let","2020 45-49 let","2020 50-54 let","2020 55-59 let","2020 60-64 let","2020 65-69 let","2020 70-74 let","2020 75-79 let","2020 80-84 let","2020 85-89 let","2020 90-94 let","2020 95-99 let","2020 100 + let"
"Spol - SKUPAJ","Pomurska",4817,5140,5177,4721,4366,5644,6784,7929,8698,8611,8749,8628,8957,8648,6192,5075,3197,1979,767,149,10
"Spol - SKUPAJ","Podravska",14589,15611,14960,14234,16670,17582,20865,23425,24125,23733,24655,24082,23096,21564,15464,13899,9361,5524,2103,425,27
"Spol - SKUPAJ","Koroška",3305,3445,3434,3117,3013,3684,4553,4705,5202,4928,5423,5517,5583,4860,3317,2939,2008,1209,435,74,4
"Spol - SKUPAJ","Savinjska",12320,13519,13137,11388,10948,13920,16827,19221,19896,18392,19282,19497,18750,16298,11628,9919,7070,4004,1514,296,21
"Spol - SKUPAJ","Zasavska",2618,2836,2803,2275,2481,2918,3743,4118,4121,3627,4338,4554,4607,3959,2691,2385,1557,1048,389,84,4
"Spol - SKUPAJ","Posavska",3687,3883,3625,3337,3202,3963,4940,5231,5614,5412,5673,5785,5667,5067,3663,2779,2251,1427,508,102,8
"Spol - SKUPAJ","Jugovzhodna Slovenija",7952,8272,7471,6560,6619,8547,9961,10711,10630,9658,10537,10856,10306,8791,6009,4692,4112,2573,916,164,20
"Spol - SKUPAJ","Osrednjeslovenska",28266,31082,29152,26563,34175,31885,37416,41904,43623,39273,38843,36239,33310,31743,23600,18813,15177,9459,3784,877,90
"Spol - SKUPAJ","Gorenjska",10340,11436,11025,9744,10113,11375,13369,14898,15401,14557,14551,14423,13417,12730,9410,7979,6164,3798,1547,323,21
"Spol - SKUPAJ","Primorsko-notranjska",2540,2877,2711,2253,2074,2711,3445,3914,3964,3785,3830,3798,3760,3573,2544,2024,1572,979,411,68,8
"Spol - SKUPAJ","Goriška",5314,6347,5850,4899,4308,6013,7150,7963,9088,8406,8635,8520,8591,8576,6028,4540,4009,2484,1069,224,27
"Spol - SKUPAJ","Obalno-kraška",5039,5811,5411,4638,5120,5634,7212,8518,9359,8584,8239,8471,8703,8388,5861,4189,3553,2142,848,181,12
